IpNode [ID LAYER FIELD TABLE_NUM CHILD_NUM]

0	0	4	1	257
1	1	0	1	2
2	2	5	1	88
3	1	0	1	3
4	2	5	1	61
5	1	0	1	4
6	2	5	1	16
7	1	0	1	2
8	2	5	1	48
9	1	0	1	2
10	2	5	1	57
11	1	0	1	4
12	2	5	1	27
13	1	0	1	5
14	2	5	1	69
15	1	0	1	6
16	2	5	1	76
17	1	0	1	2
18	2	5	1	83
19	1	0	1	3
20	2	5	1	31
21	1	0	1	3
22	2	5	1	67
23	1	0	1	3
24	2	5	1	112
25	1	0	1	2
26	2	5	1	105
27	1	0	1	2
28	2	5	1	15
29	1	0	1	2
30	2	5	1	103
31	1	0	1	5
32	2	5	1	26
33	1	0	1	2
34	2	5	1	132
35	1	0	1	2
36	2	5	1	78
37	1	0	1	4
38	2	5	1	48
39	1	0	1	4
40	2	5	1	61
41	1	0	1	2
42	2	5	1	64
43	1	0	1	3
44	2	5	1	57
45	1	0	1	6
46	2	5	1	39
47	1	0	1	6
48	2	5	1	4
49	1	0	1	4
50	2	5	1	35
51	1	0	1	5
52	2	5	1	51
53	2	5	1	32
54	1	0	1	7
55	2	5	1	83
56	1	0	1	4
57	2	5	1	15
58	1	0	1	2
59	2	5	1	92
60	1	0	1	5
61	2	5	1	16
62	1	0	1	3
63	2	5	1	100
64	1	0	1	2
65	2	5	1	36
66	1	0	1	4
67	2	5	1	91
68	2	5	1	83
69	1	0	1	4
70	2	5	1	16
71	1	0	1	3
72	2	5	1	59
73	1	0	1	3
74	2	5	1	2
75	1	0	1	4
76	2	5	1	104
77	1	0	1	3
78	2	5	1	53
79	2	5	1	67
80	1	0	1	6
81	2	5	1	69
82	1	0	1	2
83	2	5	1	48
84	1	0	1	3
85	2	5	1	2
86	1	0	1	5
87	2	5	1	8
88	1	0	1	2
89	2	5	1	75
90	1	0	1	4
91	2	5	1	68
92	1	0	1	2
93	2	5	1	63
94	1	0	1	4
95	2	5	1	42
96	1	0	1	3
97	2	5	1	157
98	1	0	1	5
99	2	5	1	16
100	1	0	1	7
101	2	5	1	55
102	1	0	1	2
103	2	5	1	55
104	2	5	1	85
105	1	0	1	2
106	2	5	1	120
107	1	0	1	3
108	2	5	1	77
109	1	0	1	3
110	2	5	1	6
111	1	0	1	2
112	2	5	1	53
113	1	0	1	7
114	2	5	1	31
115	1	0	1	3
116	2	5	1	24
117	1	0	1	4
118	2	5	1	19
119	1	0	1	4
120	2	5	1	82
121	2	5	1	66
122	2	5	1	18
123	1	0	1	4
124	2	5	1	29
125	1	0	1	3
126	2	5	1	60
127	1	0	1	8
128	2	5	1	63
129	1	0	1	4
130	2	5	1	60
131	1	0	1	6
132	2	5	1	34
133	1	0	1	6
134	2	5	1	7
135	1	0	1	6
136	2	5	1	41
137	1	0	1	3
138	2	5	1	63
139	1	0	1	6
140	2	5	1	19
141	1	0	1	3
142	2	5	1	60
143	1	0	1	5
144	2	5	1	11
145	1	0	1	2
146	2	5	1	44
147	2	5	1	65
