IpNode [ID LAYER FIELD TABLE_NUM CHILD_NUM]

0	0	0	1	257
1	1	4	1	3
2	2	6	1	15
3	2	6	1	93
4	1	4	1	4
5	2	6	1	2
6	2	6	1	94
7	2	6	1	11
8	1	4	1	4
9	2	6	1	95
10	2	6	1	5
11	2	6	1	8
12	1	4	1	4
13	2	6	1	89
14	2	6	1	9
15	2	6	1	10
16	1	4	1	4
17	2	6	1	87
18	2	6	1	9
19	2	6	1	9
20	1	4	1	4
21	2	6	1	86
22	2	6	1	9
23	2	6	1	6
24	1	4	1	5
25	2	6	1	92
26	2	6	1	7
27	2	6	1	6
28	1	4	1	4
29	2	6	1	77
30	2	6	1	8
31	2	6	1	3
32	1	4	1	5
33	2	6	1	89
34	2	6	1	12
35	2	6	1	3
36	1	4	1	5
37	2	6	1	10
38	2	6	1	97
39	2	6	1	3
40	1	4	1	4
41	2	6	1	90
42	2	6	1	14
43	2	6	1	2
44	1	4	1	4
45	2	6	1	89
46	2	6	1	14
47	1	4	1	3
48	2	6	1	14
49	2	6	1	97
50	1	4	1	2
51	2	6	1	96
52	2	6	1	12
53	1	4	1	4
54	2	6	1	3
55	2	6	1	93
56	2	6	1	14
57	2	6	1	1
58	1	4	1	4
59	2	6	1	13
60	2	6	1	63
61	2	6	1	6
62	1	4	1	4
63	2	6	1	7
64	2	6	1	70
65	2	6	1	7
66	1	4	1	4
67	2	6	1	89
68	2	6	1	9
69	2	6	1	5
70	1	4	1	3
71	2	6	1	92
72	2	6	1	10
73	2	6	1	5
74	1	4	1	3
75	2	6	1	84
76	2	6	1	12
77	2	6	1	13
78	1	4	1	3
79	2	6	1	87
80	2	6	1	6
81	2	6	1	5
82	1	4	1	4
83	2	6	1	81
84	2	6	1	9
85	2	6	1	7
86	1	4	1	3
87	2	6	1	91
88	2	6	1	8
89	2	6	1	7
90	1	4	1	3
91	2	6	1	52
92	2	6	1	6
93	2	6	1	8
94	1	4	1	3
95	2	6	1	10
96	2	6	1	98
97	2	6	1	9
98	1	4	1	3
99	2	6	1	55
100	2	6	1	9
101	2	6	1	5
102	1	4	1	3
103	2	6	1	82
104	2	6	1	14
